timestamp,tracking_error_mm,tracking_x,tracking_y,tracking_z,lag_ms,jitter_p99_ms,buffer_depth,buffer_time_s,sync_level
13410.718000,4.205,4.204,0.067,-0.046,0.00,32.00,0,2.662,OK
13411.718000,4.335,4.335,0.018,0.001,15.00,32.00,0,2.022,OK
13412.734000,4.215,4.215,0.017,0.001,0.00,32.00,1,4.702,OK
13413.734000,4.257,4.256,0.017,0.001,16.00,32.00,1,4.062,OK
13414.750000,4.186,4.186,0.017,0.001,0.00,32.00,1,3.402,OK
13415.750000,4.165,-0.007,4.165,-0.010,16.00,32.00,1,6.102,OK
13416.765000,3.969,-0.010,3.969,-0.011,0.00,32.00,1,5.442,OK
13417.765000,4.290,-0.009,4.290,-0.010,15.00,32.00,1,4.802,OK
13418.781000,4.016,-0.008,4.016,-0.010,0.00,32.00,1,4.142,OK
13419.781000,4.207,-0.007,4.207,-0.009,16.00,31.00,3,6.886,OK
13420.796000,4.110,-4.110,0.021,0.001,0.00,31.00,2,6.226,OK
13421.796000,4.197,-4.197,0.013,0.002,15.00,31.00,2,5.586,OK
13422.812000,4.333,-4.333,0.014,0.002,0.00,31.00,3,7.437,OK
13423.812000,4.165,-4.165,0.013,0.002,0.00,31.00,3,6.797,OK
13424.828000,4.081,-4.081,0.014,0.001,0.00,32.00,4,8.647,OK
13425.828000,4.183,-0.045,-4.183,-0.007,16.00,31.00,3,8.007,OK
13426.843000,4.481,-0.013,-4.481,-0.008,15.00,31.00,3,7.347,OK
13427.859000,4.285,-0.013,-4.285,-0.008,0.00,31.00,4,9.198,OK
13428.875000,4.172,-0.013,-4.172,-0.008,16.00,31.00,4,8.538,OK
13429.875000,4.079,-0.014,-4.079,-0.009,0.00,31.00,6,10.451,OK
13430.890000,5.521,5.520,-0.068,0.015,0.00,31.00,4,9.791,OK
13431.890000,5.396,5.396,0.029,0.002,0.00,31.00,4,9.151,OK
13432.906000,5.842,5.842,0.031,0.002,16.00,31.00,5,12.749,OK
13433.906000,5.586,5.586,0.029,0.002,0.00,31.00,5,12.109,OK
13434.921000,5.665,0.042,5.665,-0.014,0.00,31.00,4,11.449,OK
13435.921000,5.486,-0.017,5.486,-0.019,0.00,31.00,4,10.809,OK
13436.937000,5.841,-0.014,5.841,-0.017,16.00,31.00,5,13.164,OK
13437.937000,5.416,-0.014,5.415,-0.017,0.00,31.00,5,12.524,OK
13438.953000,5.583,-5.583,0.035,0.002,0.00,31.00,4,11.864,OK
13439.953000,5.328,-5.328,0.024,0.003,0.00,31.00,5,15.482,OK
13440.968000,5.718,-5.718,0.024,0.003,15.00,31.00,5,14.822,OK
13441.968000,5.817,-5.817,0.024,0.003,31.00,31.00,5,14.182,OK
13442.984000,5.467,-0.028,-5.467,-0.015,16.00,31.00,4,13.522,OK
13443.984000,5.881,-0.024,-5.881,-0.016,31.00,31.00,6,15.940,OK
13445.000000,5.656,-0.024,-5.655,-0.016,16.00,31.00,6,15.280,OK
13446.015000,5.944,-0.027,-5.944,-0.017,15.00,31.00,5,14.620,OK
13447.015000,6.835,4.806,4.860,-0.001,15.00,31.00,5,33.981,OK
13448.031000,7.184,5.052,5.107,-0.003,16.00,31.00,5,33.321,OK
13449.031000,6.708,4.715,4.772,-0.004,16.00,31.00,5,32.681,OK
13450.046000,7.107,4.994,5.056,-0.006,15.00,31.00,5,32.021,OK
13451.062000,6.730,4.730,4.787,-0.006,0.00,31.00,5,31.361,OK
13452.062000,7.218,5.073,5.135,-0.007,16.00,31.00,5,30.721,OK
13453.078000,6.408,-6.404,0.226,-0.000,0.00,31.00,4,30.061,OK
13454.078000,7.193,-7.192,0.031,0.006,16.00,31.00,4,29.421,OK
13455.093000,7.312,-7.312,0.034,0.006,0.00,31.00,4,28.761,OK
13456.109000,7.005,-7.005,0.035,0.006,0.00,31.00,4,28.101,OK
13457.125000,7.189,-7.189,0.039,0.005,0.00,31.00,4,27.441,OK
13458.125000,6.809,4.840,-4.789,-0.017,0.00,31.00,3,26.801,OK
13459.140000,7.355,5.230,-5.171,-0.016,15.00,31.00,3,26.141,OK
13460.140000,6.949,4.944,-4.884,-0.016,0.00,31.00,3,25.501,OK
13461.156000,7.377,5.247,-5.185,-0.016,16.00,31.00,3,24.841,OK
13462.156000,7.080,5.039,-4.974,-0.016,0.00,31.00,3,24.201,OK
13463.171000,7.237,5.153,-5.081,-0.018,15.00,31.00,3,23.541,OK
13464.171000,4.380,-4.289,-0.889,-0.012,0.00,31.00,2,22.901,OK
13465.187000,7.280,-7.280,0.045,0.003,16.00,31.00,2,22.241,OK
13466.187000,6.869,-6.869,0.046,0.003,0.00,31.00,2,21.601,OK
13467.187000,7.082,-7.082,0.047,0.004,16.00,31.00,3,27.635,OK
13468.203000,8.428,-8.428,0.047,0.002,16.00,31.00,3,26.975,OK
13469.203000,1.340,1.340,0.003,0.008,16.00,31.00,1,26.335,OK
13470.218000,1.387,1.387,0.002,0.000,0.00,31.00,1,25.675,OK
13471.234000,1.461,1.461,0.002,-0.000,16.00,31.00,1,25.015,OK
13472.234000,1.373,1.373,0.002,0.000,0.00,31.00,1,24.375,OK
13473.234000,1.439,1.439,0.002,0.000,16.00,31.00,1,23.735,OK
13474.250000,1.379,1.379,0.002,0.000,0.00,31.00,2,25.105,OK
13475.250000,1.417,1.417,0.002,0.000,16.00,31.00,2,24.465,OK
13476.265000,1.360,1.360,0.002,0.000,0.00,31.00,3,25.186,OK
13477.281000,1.412,1.412,0.002,0.000,16.00,31.00,4,28.857,OK
13478.281000,1.423,1.423,0.002,0.000,0.00,31.00,4,28.217,OK
13479.296000,1.429,1.429,0.002,0.000,0.00,31.00,4,27.557,OK
